model,model_short,target,cases,completed_cases,failed_cases,elicitation_success_rate,mean_pareto_gain,mean_hallucination_rate,avg_turns,benchmark_score,summary_path
Pro_deepseek-ai_DeepSeek-V3.2,Pro_deepseek-ai_DeepSeek-V3.2,app_pareto,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Pro_deepseek-ai_DeepSeek-V3.2\summary.json
Pro_deepseek-ai_DeepSeek-V3.2,Pro_deepseek-ai_DeepSeek-V3.2,v1_prompt_direct,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Pro_deepseek-ai_DeepSeek-V3.2\summary.json
Pro_deepseek-ai_DeepSeek-V3.2,Pro_deepseek-ai_DeepSeek-V3.2,v1_prompt_cot,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Pro_deepseek-ai_DeepSeek-V3.2\summary.json
Pro_MiniMaxAI_MiniMax-M2.5,Pro_MiniMaxAI_MiniMax-M2.5,app_pareto,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Pro_MiniMaxAI_MiniMax-M2.5\summary.json
Pro_MiniMaxAI_MiniMax-M2.5,Pro_MiniMaxAI_MiniMax-M2.5,v1_prompt_direct,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Pro_MiniMaxAI_MiniMax-M2.5\summary.json
Pro_MiniMaxAI_MiniMax-M2.5,Pro_MiniMaxAI_MiniMax-M2.5,v1_prompt_cot,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Pro_MiniMaxAI_MiniMax-M2.5\summary.json
Pro_moonshotai_Kimi-K2.6,Pro_moonshotai_Kimi-K2.6,app_pareto,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Pro_moonshotai_Kimi-K2.6\summary.json
Pro_moonshotai_Kimi-K2.6,Pro_moonshotai_Kimi-K2.6,v1_prompt_direct,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Pro_moonshotai_Kimi-K2.6\summary.json
Pro_moonshotai_Kimi-K2.6,Pro_moonshotai_Kimi-K2.6,v1_prompt_cot,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Pro_moonshotai_Kimi-K2.6\summary.json
Pro_zai-org_GLM-5.1,Pro_zai-org_GLM-5.1,app_pareto,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Pro_zai-org_GLM-5.1\summary.json
Pro_zai-org_GLM-5.1,Pro_zai-org_GLM-5.1,v1_prompt_direct,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Pro_zai-org_GLM-5.1\summary.json
Pro_zai-org_GLM-5.1,Pro_zai-org_GLM-5.1,v1_prompt_cot,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Pro_zai-org_GLM-5.1\summary.json
Qwen_Qwen3.6-35B-A3B,Qwen_Qwen3.6-35B-A3B,app_pareto,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Qwen_Qwen3.6-35B-A3B\summary.json
Qwen_Qwen3.6-35B-A3B,Qwen_Qwen3.6-35B-A3B,v1_prompt_direct,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Qwen_Qwen3.6-35B-A3B\summary.json
Qwen_Qwen3.6-35B-A3B,Qwen_Qwen3.6-35B-A3B,v1_prompt_cot,10,0,10,0.0,0.0,0.0,0.0,0.0,gaokaollm_bench\outputs\method_score_arena\Qwen_Qwen3.6-35B-A3B\summary.json
