model,target,ablation_mode,case_id,diagnostic_axis,status,target_turn_count,state_observation_count,state_update_count,state_status,eudr_slope_raw,eudr_ratio_raw,eudr_valid,eudr_effective,pcg_first_valid_probe_turn,pcg_valid_probe_hit_rate,pcg_valid_probe_coverage,msti_effective,msti_source,ctr_cardinal_trigger_rate,ctr_opportunities,boi_raw,boi_valid,boi_effective,kbv_opportunities,kbv_violations,kbv_status,kbv_rate_effective,ecdr_candidate_evidence_rate,acceptable_candidate_hit,target_supplied_acceptable_evidence,elicitation_success_aux,mae,topk_f1,notes
Pro/zai-org/GLM-5.1,app_pareto_full,full,micro-oracle-geo_tier,geo_tier,ok,1,1,0,single_turn_no_update_opportunity,0.0,0.0,False,,1,1.0,0.6666666666666666,0.60666667,expected_msti,1.0,1,0.0,False,,0,0,no_kbv_opportunity,,1.0,True,True,True,0.14,0.0,BOI single_turn_no_update_opportunity; EUDR single_turn_no_update_opportunity; KBV no opportunity
Pro/zai-org/GLM-5.1,app_pareto_full,full,micro-oracle-major_tier,major_tier,ok,1,1,0,single_turn_no_update_opportunity,0.0,0.0,False,,1,1.0,0.3333333333333333,0.8375,expected_msti,1.0,1,0.0,False,,0,0,no_kbv_opportunity,,1.0,True,True,True,0.14,0.0,BOI single_turn_no_update_opportunity; EUDR single_turn_no_update_opportunity; KBV no opportunity
Pro/zai-org/GLM-5.1,app_pareto_full,full,micro-oracle-tuition_value,tuition_value,ok,1,1,0,single_turn_no_update_opportunity,0.0,0.0,False,,1,1.0,1.0,0.03,expected_msti,1.0,1,0.0,False,,0,0,no_kbv_opportunity,,1.0,True,True,True,0.124,0.0,BOI single_turn_no_update_opportunity; EUDR single_turn_no_update_opportunity; KBV no opportunity
Pro/zai-org/GLM-5.1,app_pareto_full,full,micro-oracle-risk_tier,risk_tier,ok,1,1,0,single_turn_no_update_opportunity,0.0,0.0,False,,1,1.0,1.0,0.55,expected_msti,1.0,1,0.0,False,,0,0,no_kbv_opportunity,,1.0,True,True,True,0.15199999999999997,0.0,BOI single_turn_no_update_opportunity; EUDR single_turn_no_update_opportunity; KBV no opportunity
Pro/zai-org/GLM-5.1,app_pareto_full,full,micro-oracle-employment_outcome,employment_outcome,ok,3,3,2,updated,1.875,0.75,True,1.875,1,0.6666666666666666,1.0,1.0,observed_delta_phi,0.6666666666666666,3,1.1550741902597201,True,1.1550741902597201,2,0,measured,0.0,0.0,False,False,False,0.08351175347793802,1.0,
Pro/zai-org/GLM-5.1,app_pareto_full,full,micro-oracle-major_quality,major_quality,ok,3,3,2,updated,1.0,0.4,True,1.0,1,1.0,1.0,1.0,observed_delta_phi,0.3333333333333333,3,1.0000000000000009,True,1.0000000000000009,0,0,no_kbv_opportunity,,0.0,False,False,False,0.10614557254105261,1.0,KBV no opportunity
Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,micro-oracle-major_tier,major_tier,ok,1,1,0,single_turn_no_update_opportunity,0.0,0.0,False,,1,1.0,0.3333333333333333,0.8375,expected_msti,1.0,1,0.0,False,,0,0,no_kbv_opportunity,,1.0,True,True,True,0.14,0.0,BOI single_turn_no_update_opportunity; EUDR single_turn_no_update_opportunity; KBV no opportunity
Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,micro-oracle-geo_tier,geo_tier,ok,3,3,0,frozen_state_tracker_disabled,0.0,0.0,False,,1,1.0,0.6666666666666666,1.0,observed_delta_phi,0.6666666666666666,3,0.0,False,,1,0,measured,0.0,1.0,True,True,True,0.14,0.0,BOI frozen_state_tracker_disabled; EUDR frozen_state_tracker_disabled
Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,micro-oracle-tuition_value,tuition_value,ok,1,1,0,single_turn_no_update_opportunity,0.0,0.0,False,,1,1.0,1.0,0.03,expected_msti,1.0,1,0.0,False,,0,0,no_kbv_opportunity,,1.0,True,True,True,0.124,0.0,BOI single_turn_no_update_opportunity; EUDR single_turn_no_update_opportunity; KBV no opportunity
Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,micro-oracle-risk_tier,risk_tier,ok,1,1,0,single_turn_no_update_opportunity,0.0,0.0,False,,1,1.0,1.0,0.55,expected_msti,1.0,1,0.0,False,,0,0,no_kbv_opportunity,,1.0,True,True,True,0.15199999999999997,0.0,BOI single_turn_no_update_opportunity; EUDR single_turn_no_update_opportunity; KBV no opportunity
Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,micro-oracle-employment_outcome,employment_outcome,ok,3,3,0,frozen_state_tracker_disabled,0.0,0.0,False,,1,1.0,1.0,1.0,observed_delta_phi,0.3333333333333333,3,0.0,False,,0,0,no_kbv_opportunity,,0.0,False,False,False,0.16799999999999998,0.0,BOI frozen_state_tracker_disabled; EUDR frozen_state_tracker_disabled; KBV no opportunity
Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,micro-oracle-major_quality,major_quality,ok,3,3,0,frozen_state_tracker_disabled,0.0,0.0,False,,1,1.0,1.0,1.0,observed_delta_phi,0.6666666666666666,3,0.0,False,,0,0,no_kbv_opportunity,,0.0,False,False,False,0.16799999999999998,0.5,BOI frozen_state_tracker_disabled; EUDR frozen_state_tracker_disabled; KBV no opportunity
Pro/zai-org/GLM-5.1,app_pareto_no_ucb,no_ucb,micro-oracle-geo_tier,geo_tier,ok,3,3,2,updated,1.875,0.75,True,1.875,,0.0,0.0,0.0,observed_delta_phi,0.3333333333333333,3,1.0319501819683548,True,1.0319501819683548,0,0,no_kbv_opportunity,,1.0,True,True,True,0.2074669811685224,0.0,KBV no opportunity
Pro/zai-org/GLM-5.1,app_pareto_no_ucb,no_ucb,micro-oracle-risk_tier,risk_tier,ok,3,3,2,updated,1.0,0.4,True,1.0,1,0.3333333333333333,1.0,0.0,observed_delta_phi,0.3333333333333333,3,1.0000000000000004,True,1.0000000000000004,2,0,measured,0.0,0.0,False,False,False,0.16879675379033884,0.0,
Pro/zai-org/GLM-5.1,app_pareto_no_ucb,no_ucb,micro-oracle-tuition_value,tuition_value,ok,3,3,2,updated,1.875,0.75,True,1.875,,0.0,0.0,0.0,observed_delta_phi,1.0,3,1.8509945279905764,True,1.8509945279905764,0,0,no_kbv_opportunity,,0.0,False,False,False,0.15496073552932313,0.5,KBV no opportunity
Pro/zai-org/GLM-5.1,app_pareto_no_ucb,no_ucb,micro-oracle-major_tier,major_tier,ok,3,3,2,updated,1.875,0.75,True,1.875,,0.0,0.0,0.0,observed_delta_phi,0.3333333333333333,3,1.8616223879755818,True,1.8616223879755818,0,0,no_kbv_opportunity,,1.0,True,True,True,0.11245886555341311,0.5,KBV no opportunity
Pro/zai-org/GLM-5.1,app_pareto_no_ucb,no_ucb,micro-oracle-major_quality,major_quality,ok,3,3,2,updated,1.2,0.48,True,1.2,2,0.3333333333333333,0.5,0.0,observed_delta_phi,0.3333333333333333,3,1.0586716558829363,True,1.0586716558829363,0,0,no_kbv_opportunity,,0.0,False,False,False,0.21064429733690435,0.5,KBV no opportunity
Pro/zai-org/GLM-5.1,app_pareto_no_ucb,no_ucb,micro-oracle-employment_outcome,employment_outcome,ok,3,3,1,updated,1.25,0.5,True,1.25,,0.0,0.0,0.0,observed_delta_phi,0.3333333333333333,3,1.0,True,1.0,0,0,no_kbv_opportunity,,0.0,False,False,False,0.21436734693877552,0.0,KBV no opportunity
