dataset,profile_id,baseline_type,mae_error,weights,status,error_message
robust,__dataset__,random_dirichlet_expected,0.22227420968580194,"{""samples"": 50000, ""seed"": 20260513, ""std_mae"": 0.017348965699710655}",ok,
robust,robust_major_extreme,random_dirichlet_expected,0.26417793707512877,"{""samples"": 50000, ""seed"": 20260513, ""std_mae"": 0.06432100710724284}",ok,
robust,robust_geo_extreme,random_dirichlet_expected,0.2642489776966173,"{""samples"": 50000, ""seed"": 20260513, ""std_mae"": 0.06412458243127762}",ok,
robust,robust_tuition_extreme,random_dirichlet_expected,0.264216828468822,"{""samples"": 50000, ""seed"": 20260513, ""std_mae"": 0.06433907258184374}",ok,
robust,robust_school_extreme,random_dirichlet_expected,0.24751895548845176,"{""samples"": 50000, ""seed"": 20260513, ""std_mae"": 0.06375140063580269}",ok,
robust,robust_major_tuition_dual,random_dirichlet_expected,0.19903676322078168,"{""samples"": 50000, ""seed"": 20260513, ""std_mae"": 0.06600011781872875}",ok,
robust,robust_school_geo_dual,random_dirichlet_expected,0.19837062010347062,"{""samples"": 50000, ""seed"": 20260513, ""std_mae"": 0.06619072634903597}",ok,
robust,robust_quality_major_dual,random_dirichlet_expected,0.19632780515440332,"{""samples"": 50000, ""seed"": 20260513, ""std_mae"": 0.0653752543133936}",ok,
robust,robust_geo_tuition_dual,random_dirichlet_expected,0.19827812168835057,"{""samples"": 50000, ""seed"": 20260513, ""std_mae"": 0.0663295801175139}",ok,
robust,robust_camouflage_school_to_tuition,random_dirichlet_expected,0.2541038252347621,"{""samples"": 50000, ""seed"": 20260513, ""std_mae"": 0.0639819061596655}",ok,
robust,robust_camouflage_geo_free,random_dirichlet_expected,0.24747706220403415,"{""samples"": 50000, ""seed"": 20260513, ""std_mae"": 0.06350631049945753}",ok,
robust,robust_balanced_true,random_dirichlet_expected,0.13117189618350875,"{""samples"": 50000, ""seed"": 20260513, ""std_mae"": 0.04222168134038675}",ok,
robust,robust_low_school_decoy,random_dirichlet_expected,0.20236172371127195,"{""samples"": 50000, ""seed"": 20260513, ""std_mae"": 0.06653059912867373}",ok,
robust,robust_major_extreme,initial_query_llm,0.22000000000000003,"{""geo"": 0.2, ""major"": 0.3, ""quality"": 0.2, ""school"": 0.2, ""tuition"": 0.1}",ok,
robust,robust_geo_extreme,initial_query_llm,0.3,"{""geo"": 0.1, ""major"": 0.3, ""quality"": 0.1, ""school"": 0.3, ""tuition"": 0.2}",ok,
robust,robust_tuition_extreme,initial_query_llm,0.26,"{""geo"": 0.05, ""major"": 0.3, ""quality"": 0.05, ""school"": 0.4, ""tuition"": 0.2}",ok,
robust,robust_school_extreme,initial_query_llm,0.24,"{""geo"": 0.25, ""major"": 0.25, ""quality"": 0.25, ""school"": 0.25, ""tuition"": 0.0}",ok,
robust,robust_major_tuition_dual,initial_query_llm,0.184,"{""geo"": 0.2, ""major"": 0.2, ""quality"": 0.2, ""school"": 0.2, ""tuition"": 0.2}",ok,
robust,robust_school_geo_dual,initial_query_llm,0.124,"{""geo"": 0.2, ""major"": 0.25, ""quality"": 0.15, ""school"": 0.35, ""tuition"": 0.05}",ok,
robust,robust_quality_major_dual,initial_query_llm,0.12000000000000002,"{""geo"": 0.10000000000000002, ""major"": 0.4000000000000001, ""quality"": 0.20000000000000004, ""school"": 0.30000000000000004, ""tuition"": 0.0}",ok,
robust,robust_geo_tuition_dual,initial_query_llm,0.184,"{""geo"": 0.2, ""major"": 0.2, ""quality"": 0.2, ""school"": 0.2, ""tuition"": 0.2}",ok,
robust,robust_camouflage_school_to_tuition,initial_query_llm,0.24799999999999994,"{""geo"": 0.2, ""major"": 0.2, ""quality"": 0.2, ""school"": 0.2, ""tuition"": 0.2}",ok,
robust,robust_camouflage_geo_free,initial_query_llm,0.26,"{""geo"": 0.15, ""major"": 0.35, ""quality"": 0.2, ""school"": 0.25, ""tuition"": 0.05}",ok,
robust,robust_balanced_true,initial_query_llm,0.008000000000000002,"{""geo"": 0.2, ""major"": 0.2, ""quality"": 0.2, ""school"": 0.2, ""tuition"": 0.2}",ok,
robust,robust_low_school_decoy,initial_query_llm,0.28800000000000003,"{""geo"": 0.10000000000000002, ""major"": 0.10000000000000002, ""quality"": 0.10000000000000002, ""school"": 0.7000000000000001, ""tuition"": 0.0}",ok,
