suite,model,target,ablation_mode,case_id,status,elicitation_success,pareto_gain,hallucination_rate,turns,transcript_path,mae,topk_f1,boi,sum_var_start,sum_var_end,eudr_slope,eudr_ratio,pcg_first_hit_turn,pcg_final_coverage,pcg_hit_count,msti_mean,msti_max,msti_observed_count,ctr_opportunities,cardinal_trigger_count,cardinal_trigger_rate,accept_count,reject_count,rejection_turn,kbv_opportunities,kbv_violations,kbv_rate,final_weights_json,error_type,error,constraint_count,diagnostic_axis,score_band,probe_gold_dims,weight_gold_dims,expected_msti
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-geo_tier-630-004,ok,False,0.0,1.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-geo_tier-630-004.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.50166667,0.50166667,0,6,1,0.16666666666666666,0,1,7,3,3,1.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,geo_tier,610-639,geo,school,0.50166667
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-major_tier-570-007,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-major_tier-570-007.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.7275,0.7275,0,6,1,0.16666666666666666,0,1,3,5,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,major_tier,550-579,major,"school,quality",0.7275
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-geo_tier-520-001,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-geo_tier-520-001.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.6,0.6,0,6,6,1.0,0,6,3,5,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,geo_tier,520-549,geo,school,0.6
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-major_tier-560-006,ok,False,0.0,1.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-major_tier-560-006.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.79,0.79,0,6,6,1.0,0,6,3,5,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,major_tier,520-549,major,"school,quality",0.79
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-risk_tier-600-012,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-risk_tier-600-012.json,0.15199999999999997,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.25,0.25,0,6,0,0.0,0,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,risk_tier,550-579,school,school,0.25
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-major_tier-600-009,ok,False,0.0,1.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-major_tier-600-009.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.65,0.65,0,6,1,0.16666666666666666,0,1,3,5,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,major_tier,610-639,major,"school,quality",0.65
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-geo_tier-550-002,ok,False,0.0,1.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-geo_tier-550-002.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.6075,0.6075,0,6,6,1.0,0,6,3,5,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,geo_tier,550-579,geo,school,0.6075
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-major_tier-650-010,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-major_tier-650-010.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.5625,0.5625,0,6,6,1.0,0,6,3,5,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,major_tier,640-680,major,"school,quality",0.5625
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-tuition_value-520-016,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-tuition_value-520-016.json,0.124,0.0,0.0,5.0,5.0,0.0,0.0,1,1.0,6,0.304,0.304,0,6,2,0.3333333333333333,2,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,tuition_value,520-549,tuition,"school,quality",0.304
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-risk_tier-590-011,ok,True,534.0,0.5,9,gaokaollm_bench\outputs\unified_adaptive_arena\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-risk_tier-590-011.json,0.15199999999999997,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.25,0.25,0,4,1,0.25,1,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,risk_tier,520-549,school,school,0.25
