suite,model,target,ablation_mode,case_id,status,elicitation_success,pareto_gain,hallucination_rate,turns,transcript_path,mae,topk_f1,recommendation_precision_at_1,recommendation_recall_at_1,recommendation_f1_at_1,recommendation_hit_at_1,recommendation_match_count_at_1,recommendation_count,reference_recommendation_count,candidate_pool_size,recommendation_matched_ids_at_1,recommendation_precision_at_3,recommendation_recall_at_3,recommendation_f1_at_3,recommendation_hit_at_3,recommendation_match_count_at_3,recommendation_matched_ids_at_3,recommendation_precision_at_5,recommendation_recall_at_5,recommendation_f1_at_5,recommendation_hit_at_5,recommendation_match_count_at_5,recommendation_matched_ids_at_5,recommendation_precision_at_10,recommendation_recall_at_10,recommendation_f1_at_10,recommendation_hit_at_10,recommendation_match_count_at_10,recommendation_matched_ids_at_10,retrieval_candidate_count,retrieval_precision_at_1,retrieval_recall_at_1,retrieval_f1_at_1,retrieval_hit_at_1,retrieval_match_count_at_1,retrieval_matched_ids_at_1,retrieval_precision_at_3,retrieval_recall_at_3,retrieval_f1_at_3,retrieval_hit_at_3,retrieval_match_count_at_3,retrieval_matched_ids_at_3,retrieval_precision_at_5,retrieval_recall_at_5,retrieval_f1_at_5,retrieval_hit_at_5,retrieval_match_count_at_5,retrieval_matched_ids_at_5,retrieval_precision_at_10,retrieval_recall_at_10,retrieval_f1_at_10,retrieval_hit_at_10,retrieval_match_count_at_10,retrieval_matched_ids_at_10,boi,sum_var_start,sum_var_end,eudr_slope,eudr_ratio,pcg_first_hit_turn,pcg_final_coverage,pcg_hit_count,first_valid_probe_turn,valid_probe_hit_count,valid_probe_hit_rate,valid_probe_coverage,covered_valid_probe_dims,covered_valid_probe_keys,msti_mean,msti_max,msti_observed_count,ctr_opportunities,cardinal_trigger_count,cardinal_trigger_rate,accept_count,reject_count,rejection_turn,kbv_opportunities,kbv_violations,kbv_rate,final_weights_json,error_type,error,target_turn_count,echo_rate,probe_question_rate,pareto_diff_rate,uniform_weight_rate,constant_variance_rate,golden_first_mention_role,golden_first_mention_turn,golden_first_mention_school,target_supplied_golden_evidence,target_golden_evidence_count,golden_echo_target_count,acceptable_candidate_count,acceptable_candidate_hit,acceptable_candidate_hit_ids,acceptable_first_mention_role,acceptable_first_mention_turn,acceptable_first_mention_school,target_supplied_acceptable_evidence,target_acceptable_evidence_count,acceptable_echo_target_count,exact_golden_hit,constraint_count,diagnostic_axis,score_band,probe_gold_dims,weight_gold_dims,expected_msti
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-geo_tier-640-005,ok,False,0.0,0.5,7,gaokaollm_bench\outputs\unified_adaptive_arena_c1_rerun\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-geo_tier-640-005.json,0.14124675200612352,0.0,0.0,0.0,0.0,False,0,10,10,30,,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,2,"name:浙江大学医学院:药学类,name:浙江大学医学院:药学类(含药学专业)",0.8,0.8,0.8000000000000002,True,4,"name:浙江大学:工科试验班(海洋),name:浙江大学:工科试验班(海洋)(前两年在紫金港校区,后两年在舟山校区学习.含海洋工程与技术、海洋科学专业),name:浙江大学医学院:药学类,name:浙江大学医学院:药学类(含药学专业)",0.5,0.5,0.5,True,5,"name:宁波大学:法学,name:浙江大学:工科试验班(海洋),name:浙江大学:工科试验班(海洋)(前两年在紫金港校区,后两年在舟山校区学习.含海洋工程与技术、海洋科学专业),name:浙江大学医学院:药学类,name:浙江大学医学院:药学类(含药学专业)",6,0.0,0.0,0.0,False,0,,0.0,0.0,0.0,False,0,,0.0,0.0,0.0,False,0,,0.16666666666666666,0.1,0.125,True,1,name:宁波大学:法学,1.1550741902597201,5.0,1.25,1.875,0.75,1,1.0,2,1,2,0.6666666666666666,0.6666666666666666,geo,"major_geo_relax,region_tree_relax",1.0,1.0,2,3,1,0.3333333333333333,1,0,,0,0,0.0,"{""school"": 0.22593498812961427, ""major"": 0.12094813185507694, ""tuition"": 0.12094813185507694, ""quality"": 0.12094813185507694, ""geo"": 0.41122061630515494}",,,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,target_agent,6,吉林大学,True,1,0,1,True,21:155:2025:639,target_agent,6,吉林大学,True,1,0,True,1,geo_tier,640-680,geo,school,0.51416667
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-geo_tier-580-003,ok,True,1.0,0.16666666666666666,7,gaokaollm_bench\outputs\unified_adaptive_arena_c1_rerun\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-geo_tier-580-003.json,0.09357868681794256,1.0,1.0,1.0,1.0,True,1,10,10,30,name:河南大学:软件工程,1.0,1.0,1.0,True,3,"name:中国美术学院:工业设计,name:宁波大学:旅游管理(中外合作办学)(中法合作)(植物园校区.符合条件者第四学年可选赴法国昂热大学留学,可获中法双文凭,法方不另收学费),name:河南大学:软件工程",0.8,0.8,0.8000000000000002,True,4,"name:中国美术学院:工业设计,name:中国美术学院:建筑学,name:宁波大学:旅游管理(中外合作办学)(中法合作)(植物园校区.符合条件者第四学年可选赴法国昂热大学留学,可获中法双文凭,法方不另收学费),name:河南大学:软件工程",0.4,0.4,0.4000000000000001,True,4,"name:中国美术学院:工业设计,name:中国美术学院:建筑学,name:宁波大学:旅游管理(中外合作办学)(中法合作)(植物园校区.符合条件者第四学年可选赴法国昂热大学留学,可获中法双文凭,法方不另收学费),name:河南大学:软件工程",6,0.0,0.0,0.0,False,0,,0.0,0.0,0.0,False,0,,0.2,0.2,0.20000000000000004,True,1,name:南京师范大学中北学院:法学,0.6666666666666666,0.4,0.5,True,4,"name:华中农业大学:生态学,name:华南农业大学:植物保护,name:南京师范大学中北学院:法学,name:河南大学:生物科学",2.7063674700631704,5.0,1.25,1.875,0.75,1,1.0,1,1,2,0.6666666666666666,1.0,"geo,school","major_geo_relax,region_tree_relax",1.0,1.0,2,3,2,0.6666666666666666,2,0,,0,0,0.0,"{""school"": 0.31605328295514357, ""major"": 0.16350819292876123, ""tuition"": 0.16350819292876123, ""quality"": 0.16350819292876123, ""geo"": 0.19342213825857266}",,,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,target_agent,6,华中农业大学,True,1,0,1,True,74:183:2025:579,target_agent,6,华中农业大学,True,1,0,True,1,geo_tier,580-609,geo,school,0.63666667
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-major_tier-560-006,ok,False,0.0,0.0,7,gaokaollm_bench\outputs\unified_adaptive_arena_c1_rerun\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-major_tier-560-006.json,0.19348578608145967,0.0,1.0,1.0,1.0,True,1,10,10,22,name:东北农业大学:动物科学,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,2,"name:东北农业大学:动物科学,name:西藏大学:临床医学",1.0,1.0,1.0,True,5,"name:东北农业大学:动物科学,name:山西大学:智慧建筑与建造,name:湖州师范学院:临床医学,name:西藏大学:临床医学,name:西藏大学:临床医学(纳金校区)",1.0,1.0,1.0,True,10,"name:东北农业大学:动物科学,name:东北农业大学:生物科学,name:嘉兴学院:临床医学(梁林校区),name:山西大学:智慧建筑与建造,name:成都中医药大学:康复治疗学,name:河南大学:生物工程,name:湖州师范学院:临床医学,name:西藏大学:临床医学,name:西藏大学:临床医学(纳金校区),name:贵州大学:环境科学",7,0.0,0.0,0.0,False,0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,1,name:西藏大学:临床医学(纳金校区),0.6,0.6,0.6,True,3,"name:山西大学:智慧建筑与建造,name:湖州师范学院:临床医学,name:西藏大学:临床医学(纳金校区)",0.8571428571428571,0.6,0.7058823529411764,True,6,"name:东北农业大学:生物科学,name:山西大学:智慧建筑与建造,name:河南大学:生物工程,name:湖州师范学院:临床医学,name:西藏大学:临床医学(纳金校区),name:贵州大学:环境科学",1.0,5.0,1.25,1.875,0.75,1,1.0,2,1,2,0.6666666666666666,0.3333333333333333,major,major_geo_relax,1.0,1.0,2,3,2,0.6666666666666666,1,2,3,2,0,0.0,"{""school"": 0.13314276739817543, ""major"": 0.4674289304072983, ""tuition"": 0.13314276739817543, ""quality"": 0.13314276739817543, ""geo"": 0.13314276739817543}",,,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,,False,0,0,1,False,,,,,False,0,0,False,1,major_tier,520-549,major,"school,quality",0.79
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-geo_tier-520-001,ok,False,0.0,0.0,9,gaokaollm_bench\outputs\unified_adaptive_arena_c1_rerun\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-geo_tier-520-001.json,0.17348578608145965,0.0,0.0,0.0,0.0,False,0,10,10,23,,0.0,0.0,0.0,False,0,,0.2,0.2,0.20000000000000004,True,1,name:浙江师范大学:生物科学(师范),0.6,0.6,0.6,True,6,"name:中国计量大学:金融工程(中外合作办学)(要求高考外语成绩不低于105分),name:浙江中医药大学:助产学(第一学年在富春校区),name:浙江师范大学:生物科学(师范),name:浙江海洋大学:生物科学(第一学年在定海校区,第二学年起在新城校区),name:温州医科大学:护理,name:温州医科大学:护理学(学校提醒：该专业有体检受限等要求,请查看学校招生章程并向学校咨询.第一学年在滨海校区,第二学年起根据学校规划确定)",4,0.0,0.0,0.0,False,0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,1,name:南京师范大学中北学院:电气工程及其自动化,0.75,0.6,0.6666666666666665,True,3,"name:南京师范大学中北学院:电气工程及其自动化,name:江苏农牧科技职业学院:动物医学(凤凰校区),name:浙江师范大学:生物科学(师范)",0.75,0.3,0.4285714285714285,True,3,"name:南京师范大学中北学院:电气工程及其自动化,name:江苏农牧科技职业学院:动物医学(凤凰校区),name:浙江师范大学:生物科学(师范)",1.0,5.0,1.5,1.1666666666666667,0.7,1,1.0,3,1,3,0.75,0.6666666666666666,geo,"major_geo_relax,region_tree_relax",1.0,1.0,3,4,2,0.5,0,2,3,3,0,0.0,"{""school"": 0.13314276739817543, ""major"": 0.13314276739817543, ""tuition"": 0.13314276739817543, ""quality"": 0.13314276739817543, ""geo"": 0.4674289304072983}",,,4,0.0,0.75,0.75,0.25,0.25,,,,False,0,0,1,False,,,,,False,0,0,False,1,geo_tier,520-549,geo,school,0.6
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-geo_tier-630-004,ok,True,1.0,1.0,3,gaokaollm_bench\outputs\unified_adaptive_arena_c1_rerun\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-geo_tier-630-004.json,0.14,0.0,1.0,1.0,1.0,True,1,10,10,24,name:中国矿业大学:土木工程,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,2,"name:中国矿业大学:土木工程,name:大连理工大学(盘锦校区):环境生态工程",0.4,0.4,0.4000000000000001,True,2,"name:中国矿业大学:土木工程,name:大连理工大学(盘锦校区):环境生态工程",0.4,0.4,0.4000000000000001,True,4,"name:中国矿业大学:土木工程,name:大连理工大学(盘锦校区):环境生态工程,name:宁波大学:法学,name:宁波大学:法学类(含法学,法学(英语特色班)专业)",6,0.0,0.0,0.0,False,0,,0.0,0.0,0.0,False,0,,0.0,0.0,0.0,False,0,,0.5,0.3,0.37499999999999994,True,3,"name:厦门大学:金融学(厦门大学马来西亚分校招生专业)(马来西亚分校.全英文授课,要求高考外语成绩不低于120分.入学第一年期间达到录取专业要求的雅思等成绩后开始学位课程学习.学费:2.5万林吉特/学年,办学地点在马来西亚雪兰莪州雪邦沙叻丁宜),name:哈尔滨工业大学(威海):船舶与海洋工程(中外合作办学)(威海校区),name:大连理工大学(盘锦校区):药学",0.0,5.0,5.0,0.0,0.0,1,1.0,1,1,1,1.0,0.6666666666666666,geo,"major_geo_relax,region_tree_relax",0.50166667,0.50166667,0,1,1,1.0,1,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,0.0,1.0,0.0,1.0,1.0,target_agent,2,大连理工大学(盘锦校区),True,1,0,1,True,43:405:2025:628,target_agent,2,大连理工大学(盘锦校区),True,1,0,True,1,geo_tier,610-639,geo,school,0.50166667
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-risk_tier-590-011,ok,True,534.0,0.0,7,gaokaollm_bench\outputs\unified_adaptive_arena_c1_rerun\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-risk_tier-590-011.json,0.1119663871219152,0.0,1.0,1.0,1.0,True,1,10,10,19,name:石河子大学:中药学,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,2,"name:石河子大学:中药学,name:西藏大学:临床医学",0.6,0.6,0.6,True,3,"name:中国美术学院:艺术学理论类,name:石河子大学:中药学,name:西藏大学:临床医学",0.9,0.9,0.9,True,9,"name:中国美术学院:艺术学理论类,name:华南农业大学:动物药学,name:宁波大学:旅游管理(中外合作办学)(中法合作)(植物园校区.符合条件者第四学年可选赴法国昂热大学留学,可获中法双文凭,法方不另收学费),name:广州中医药大学:康复治疗学,name:杭州师范大学:临床医学,name:河南大学:药学,name:石河子大学:中药学,name:西藏大学:临床医学,name:西藏大学:临床医学(纳金校区)",8,0.0,0.0,0.0,False,0,,0.0,0.0,0.0,False,0,,0.2,0.2,0.20000000000000004,True,1,"name:宁波大学:旅游管理(中外合作办学)(中法合作)(植物园校区.符合条件者第四学年可选赴法国昂热大学留学,可获中法双文凭,法方不另收学费)",0.875,0.7,0.7777777777777777,True,7,"name:华南农业大学:动物药学,name:宁波大学:旅游管理(中外合作办学)(中法合作)(植物园校区.符合条件者第四学年可选赴法国昂热大学留学,可获中法双文凭,法方不另收学费),name:广州中医药大学:康复治疗学,name:杭州师范大学:临床医学,name:河南大学:药学,name:石河子大学:药学,name:西藏大学:临床医学(纳金校区)",1.0,5.0,1.25,1.875,0.75,1,1.0,2,1,2,0.6666666666666666,1.0,school,risk_band_relax,1.0,1.0,2,3,3,1.0,3,2,3,2,1,0.5,"{""school"": 0.32025209658563586, ""major"": 0.32025209658563586, ""tuition"": 0.11983193560957614, ""quality"": 0.11983193560957614, ""geo"": 0.11983193560957614}",,,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,target_agent,6,杭州师范大学,True,1,0,1,True,266:385:2025:590,target_agent,6,杭州师范大学,True,1,0,True,1,risk_tier,520-549,school,school,0.25
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-major_tier-570-007,ok,False,0.0,0.0,7,gaokaollm_bench\outputs\unified_adaptive_arena_c1_rerun\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-major_tier-570-007.json,0.19348578608145967,0.0,0.0,0.0,0.0,False,0,10,10,10,,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,2,"name:石河子大学:预防医学,name:西藏大学:临床医学(纳金校区)",0.8,0.8,0.8000000000000002,True,4,"name:石河子大学:预防医学,name:西藏大学:临床医学,name:西藏大学:临床医学(纳金校区),name:青海大学:康复治疗学",1.0,1.0,1.0,True,10,"name:丽水学院:临床医学,name:南京中医药大学:护理学,name:成都中医药大学:康复治疗学,name:湖州师范学院:临床医学,name:石河子大学:中药学,name:石河子大学:预防医学,name:绍兴文理学院:临床医学,name:西藏大学:临床医学,name:西藏大学:临床医学(纳金校区),name:青海大学:康复治疗学",5,0.0,0.0,0.0,False,0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,1,name:西藏大学:临床医学,0.4,0.4,0.4000000000000001,True,2,"name:石河子大学:中药学,name:西藏大学:临床医学",1.0,0.5,0.6666666666666666,True,5,"name:丽水学院:临床医学,name:南京中医药大学:护理学,name:成都中医药大学:康复治疗学,name:石河子大学:中药学,name:西藏大学:临床医学",1.0,5.0,1.25,1.875,0.75,1,1.0,2,1,2,0.6666666666666666,0.3333333333333333,major,major_geo_relax,1.0,1.0,2,3,3,1.0,3,3,3,2,0,0.0,"{""school"": 0.13314276739817543, ""major"": 0.4674289304072983, ""tuition"": 0.13314276739817543, ""quality"": 0.13314276739817543, ""geo"": 0.13314276739817543}",,,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,,False,0,0,1,False,,,,,False,0,0,False,1,major_tier,550-579,major,"school,quality",0.7275
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-major_tier-600-009,ok,False,0.0,0.0,9,gaokaollm_bench\outputs\unified_adaptive_arena_c1_rerun\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-major_tier-600-009.json,0.17359350758067774,0.0,1.0,1.0,1.0,True,1,10,10,26,name:宁波大学:预防医学,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,2,"name:宁波大学:机械类(含机械设计制造及其自动化、车辆工程、工业工程专业),name:宁波大学:预防医学",0.8,0.8,0.8000000000000002,True,4,"name:宁波大学:机械类(含机械设计制造及其自动化、车辆工程、工业工程专业),name:宁波大学:海洋药学(梅山校区),name:宁波大学:生物科学类(梅山校区.含生物技术、水产养殖学专业),name:宁波大学:预防医学",0.9,0.9,0.9,True,9,"name:南京中医药大学:临床医学(老年医学),name:南京中医药大学:临床医学(老年医学)(仙林校区),name:宁波大学:临床医学,name:宁波大学:机械类(含机械设计制造及其自动化、车辆工程、工业工程专业),name:宁波大学:海洋药学(梅山校区),name:宁波大学:生物科学类(梅山校区.含生物技术、水产养殖学专业),name:宁波大学:预防医学,name:宁波大学:食品科学与工程(梅山校区),name:河南大学:临床医学类(开封校区.含临床医学、眼视光医学专业)",8,0.0,0.0,0.0,False,0,,0.0,0.0,0.0,False,0,,0.0,0.0,0.0,False,0,,0.0,0.0,0.0,False,0,,1.0000000000000004,5.0,3.12,0.6266666666666666,0.376,1,1.0,3,1,3,0.75,0.3333333333333333,major,major_geo_relax,1.0,1.0,3,4,1,0.25,1,0,,0,0,0.0,"{""school"": 0.15800811552415284, ""major"": 0.36796753790338865, ""tuition"": 0.15800811552415284, ""quality"": 0.15800811552415284, ""geo"": 0.15800811552415284}",,,4,0.0,0.75,0.75,0.25,0.25,,,,False,0,0,1,False,,,,,False,0,0,False,1,major_tier,610-639,major,"school,quality",0.65
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-major_tier-650-010,ok,False,0.0,0.0,7,gaokaollm_bench\outputs\unified_adaptive_arena_c1_rerun\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-major_tier-650-010.json,0.10817540964643806,0.5,0.0,0.0,0.0,False,0,10,10,19,,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,2,"name:吉林大学:临床医学(三院)(前卫南区.白求,恩第三临床医学院),name:四川大学:医学技术类",0.8,0.8,0.8000000000000002,True,4,"name:吉林大学:临床医学(三院)(前卫南区.白求,恩第三临床医学院),name:四川大学:医学技术类,name:宁波大学:临床医学(拔尖人才创新班),name:浙江大学:工科试验班(海洋)(前两年在紫金港校区,后两年在舟山校区学习.含海洋工程与技术、海洋科学专业)",0.9,0.9,0.9,True,9,"name:吉林大学:临床医学,name:吉林大学:临床医学(三院)(前卫南区.白求,恩第三临床医学院),name:四川大学:医学技术类,name:四川大学:建筑学(江安校区),name:天津大学:医学试验班(新医科)(卫津路校区.含生物科学、药学、智能医学工程、生物医学工程、临床医学(5年制)专业),name:宁波大学:临床医学(拔尖人才创新班),name:浙江大学:工科试验班(海洋)(前两年在紫金港校区,后两年在舟山校区学习.含海洋工程与技术、海洋科学专业),name:浙江大学:应用生物科学(农学)(含农业资源与环境、茶学、农学、植物保护、园林、园艺、动物科学、动物医学专业,其中动物医学专业学制5年),name:浙江大学:新闻传播学类",8,0.0,0.0,0.0,False,0,,0.0,0.0,0.0,False,0,,0.2,0.2,0.20000000000000004,True,1,name:宁波大学:临床医学(拔尖人才创新班),0.625,0.5,0.5555555555555556,True,5,"name:吉林大学:临床医学,name:四川大学:药学类,name:天津大学:医学试验班(新医科)(卫津路校区.含生物科学、药学、智能医学工程、生物医学工程、临床医学(5年制)专业),name:宁波大学:临床医学(拔尖人才创新班),name:浙江大学:应用生物科学(农学)(含农业资源与环境、茶学、农学、植物保护、园林、园艺、动物科学、动物医学专业,其中动物医学专业学制5年)",2.7063674700631704,5.0,1.25,1.875,0.75,1,1.0,1,1,2,0.6666666666666666,0.6666666666666666,"major,quality",major_geo_relax,1.0,1.0,2,3,2,0.6666666666666666,1,2,3,2,0,0.0,"{""school"": 0.16350819292876123, ""major"": 0.19342213825857266, ""tuition"": 0.16350819292876123, ""quality"": 0.31605328295514357, ""geo"": 0.16350819292876123}",,,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,,False,0,0,1,False,,,,,False,0,0,False,1,major_tier,640-680,major,"school,quality",0.5625
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-risk_tier-610-014,ok,True,1.0,0.0,3,gaokaollm_bench\outputs\unified_adaptive_arena_c1_rerun\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-risk_tier-610-014.json,0.15199999999999997,0.0,1.0,1.0,1.0,True,1,10,10,10,name:宁波大学:临床医学,1.0,1.0,1.0,True,3,"name:宁波大学:临床医学,name:宁波大学:临床医学(拔尖人才创新班),name:浙江中医药大学:中西医临床医学",1.0,1.0,1.0,True,5,"name:宁波大学:临床医学,name:宁波大学:临床医学(拔尖人才创新班),name:杭州医学院:临床医学,name:杭州医学院:临床医学(临安校区),name:浙江中医药大学:中西医临床医学",1.0,1.0,1.0,True,10,"name:宁波大学:临床医学,name:宁波大学:临床医学(拔尖人才创新班),name:杭州医学院:临床医学,name:杭州医学院:临床医学(临安校区),name:杭州师范大学:临床医学,name:浙江中医药大学:中西医临床医学,name:浙江中医药大学:临床医学(第一学年在富春校区),name:温州医科大学:临床医学,name:温州医科大学:临床医学(中外合作办学)(要求高考外语成绩不低于120分),name:温州医科大学:临床医学(中外合作办学)(要求高考外语成绩不低于120分.英语教学)",5,1.0,1.0,1.0,True,1,name:宁波大学:临床医学,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,1,name:宁波大学:临床医学,0.4,0.4,0.4000000000000001,True,2,"name:宁波大学:临床医学,name:杭州医学院:临床医学(临安校区)",1.0,0.5,0.6666666666666666,True,5,"name:宁波大学:临床医学,name:杭州医学院:临床医学(临安校区),name:杭州师范大学:临床医学,name:浙江中医药大学:临床医学(第一学年在富春校区),name:温州医科大学:临床医学",0.0,5.0,5.0,0.0,0.0,1,1.0,1,1,1,1.0,1.0,school,risk_band_relax,0.55,0.55,0,1,1,1.0,1,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,0.0,1.0,0.0,1.0,1.0,target_agent,2,宁波大学,True,1,0,1,True,139:385:2025:610,target_agent,2,宁波大学,True,1,0,True,1,risk_tier,610-639,school,school,0.55
