suite,model,target,ablation_mode,case_id,status,elicitation_success,pareto_gain,hallucination_rate,turns,transcript_path,mae,topk_f1,boi,sum_var_start,sum_var_end,eudr_slope,eudr_ratio,pcg_first_hit_turn,pcg_final_coverage,pcg_hit_count,msti_mean,msti_max,msti_observed_count,ctr_opportunities,cardinal_trigger_count,cardinal_trigger_rate,accept_count,reject_count,rejection_turn,kbv_opportunities,kbv_violations,kbv_rate,final_weights_json,error_type,error,target_turn_count,echo_rate,probe_question_rate,pareto_diff_rate,uniform_weight_rate,constant_variance_rate,golden_first_mention_role,golden_first_mention_turn,golden_first_mention_school,target_supplied_golden_evidence,target_golden_evidence_count,golden_echo_target_count,constraint_count,diagnostic_axis,score_band,probe_gold_dims,weight_gold_dims,expected_msti
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-geo_tier-520-001,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-geo_tier-520-001.json,0.1492645136809909,0.0,1.8223329874661547,5.0,1.25,0.75,0.75,,0.0,0,1.0,1.0,2,6,4,0.6666666666666666,1,3,5,4,0,0.0,"{""school"": 0.19212903934450004, ""major"": 0.19212903934450004, ""tuition"": 0.06470967645302272, ""quality"": 0.19212903934450004, ""geo"": 0.35890320551347715}",,,6,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,,,,False,0,0,1,geo_tier,520-549,geo,school,0.6
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-major_tier-560-006,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-major_tier-560-006.json,0.19940865744384917,0.0,1.1956832103297512,5.0,1.25,0.75,0.75,,0.0,0,1.0,1.0,2,6,1,0.16666666666666666,1,0,,0,0,0.0,"{""school"": 0.12573917819518854, ""major"": 0.22785082360631212, ""tuition"": 0.39493164180812224, ""quality"": 0.12573917819518854, ""geo"": 0.12573917819518854}",,,6,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,,,,False,0,0,1,major_tier,520-549,major,"school,quality",0.79
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-risk_tier-590-011,ok,True,534.0,0.0,9,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-risk_tier-590-011.json,0.19213445151233907,0.0,0.9999999999999999,5.0,1.25,1.25,0.75,,0.0,0,1.0,1.0,3,4,3,0.75,3,2,5,2,1,0.5,"{""school"": 0.11983193560957611, ""major"": 0.3202520965856358, ""tuition"": 0.3202520965856358, ""quality"": 0.11983193560957611, ""geo"": 0.11983193560957611}",,,4,0.0,0.75,0.75,0.5,0.5,target_agent,8,杭州师范大学,True,1,0,1,risk_tier,520-549,school,school,0.25
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-major_quality-600-021,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-major_quality-600-021.json,0.1519663871219152,0.5,0.9999999999999999,5.0,1.25,0.75,0.75,,0.0,0,1.0,1.0,2,6,6,1.0,6,6,3,5,0,0.0,"{""school"": 0.11983193560957611, ""major"": 0.3202520965856358, ""tuition"": 0.3202520965856358, ""quality"": 0.11983193560957611, ""geo"": 0.11983193560957611}",,,6,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,,,,False,0,0,1,major_quality,520-549,quality,"quality,major",0.44
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-tuition_value-520-016,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-tuition_value-520-016.json,0.14256399927939972,0.5,1.1956832103297512,5.0,1.5,0.7,0.7,1,1.0,3,1.0,1.0,3,6,3,0.5,3,2,9,2,0,0.0,"{""school"": 0.12573917819518854, ""major"": 0.12573917819518854, ""tuition"": 0.39493164180812224, ""quality"": 0.22785082360631212, ""geo"": 0.12573917819518854}",,,6,0.0,0.5,0.5,0.16666666666666666,0.16666666666666666,,,,False,0,0,1,tuition_value,520-549,tuition,"school,quality",0.304
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-employment_outcome-520-026,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-employment_outcome-520-026.json,0.19474289304072984,0.0,1.0,5.0,1.25,0.75,0.75,,0.0,0,1.0,1.0,2,6,4,0.6666666666666666,4,3,7,3,0,0.0,"{""school"": 0.13314276739817543, ""major"": 0.13314276739817543, ""tuition"": 0.4674289304072983, ""quality"": 0.13314276739817543, ""geo"": 0.13314276739817543}",,,6,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,,,,False,0,0,1,employment_outcome,520-549,quality,quality,0.75
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,one-constrain-major_tier-560-006,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_no_tracker\transcripts\app_pareto_no_tracker\transcript_one-constrain-major_tier-560-006.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,1.0,1.0,3,6,1,0.16666666666666666,1,1,9,2,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,6,0.0,0.5,0.5,1.0,1.0,,,,False,0,0,1,major_tier,520-549,major,"school,quality",0.79
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,one-constrain-geo_tier-520-001,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_no_tracker\transcripts\app_pareto_no_tracker\transcript_one-constrain-geo_tier-520-001.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,1.0,1.0,3,6,2,0.3333333333333333,0,2,11,1,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,6,0.0,0.5,0.5,1.0,1.0,,,,False,0,0,1,geo_tier,520-549,geo,school,0.6
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,one-constrain-risk_tier-590-011,ok,False,0.0,0.0,9,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_no_tracker\transcripts\app_pareto_no_tracker\transcript_one-constrain-risk_tier-590-011.json,0.15199999999999997,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,1.0,1.0,3,4,2,0.5,2,1,5,2,1,0.5,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,4,0.0,0.75,0.75,1.0,1.0,target_agent,8,杭州师范大学,True,1,0,1,risk_tier,520-549,school,school,0.25
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,one-constrain-major_quality-600-021,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_no_tracker\transcripts\app_pareto_no_tracker\transcript_one-constrain-major_quality-600-021.json,0.16799999999999998,0.5,0.0,5.0,5.0,0.0,0.0,,0.0,0,1.0,1.0,3,6,4,0.6666666666666666,4,4,3,5,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,6,0.0,0.5,0.5,1.0,1.0,,,,False,0,0,1,major_quality,520-549,quality,"quality,major",0.44
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,one-constrain-tuition_value-520-016,ok,False,0.0,0.1,13,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_no_tracker\transcripts\app_pareto_no_tracker\transcript_one-constrain-tuition_value-520-016.json,0.124,0.0,0.0,5.0,5.0,0.0,0.0,1,1.0,3,1.0,1.0,3,6,3,0.5,3,1,13,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,6,0.0,0.5,0.5,1.0,1.0,,,,False,0,0,1,tuition_value,520-549,tuition,"school,quality",0.304
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,one-constrain-employment_outcome-520-026,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_no_tracker\transcripts\app_pareto_no_tracker\transcript_one-constrain-employment_outcome-520-026.json,0.16799999999999998,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,1.0,1.0,3,6,3,0.5,3,3,9,2,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,6,0.0,0.5,0.5,1.0,1.0,,,,False,0,0,1,employment_outcome,520-549,quality,quality,0.75
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_ucb,no_ucb,one-constrain-geo_tier-520-001,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_no_ucb\transcripts\app_pareto_no_ucb\transcript_one-constrain-geo_tier-520-001.json,0.17348578608145965,0.0,1.0,5.0,1.25,0.75,0.75,,0.0,0,0.0,0.0,2,6,4,0.6666666666666666,3,2,3,5,0,0.0,"{""school"": 0.13314276739817543, ""major"": 0.13314276739817543, ""tuition"": 0.13314276739817543, ""quality"": 0.13314276739817543, ""geo"": 0.4674289304072983}",,,6,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,,,,False,0,0,1,geo_tier,520-549,geo,school,0.6
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_ucb,no_ucb,one-constrain-risk_tier-590-011,ok,True,534.0,0.0,9,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_no_ucb\transcripts\app_pareto_no_ucb\transcript_one-constrain-risk_tier-590-011.json,0.22233008748585456,0.0,1.5980546848474442,5.0,1.25,1.25,0.75,,0.0,0,0.0,0.0,3,4,2,0.5,2,1,5,2,1,0.5,"{""school"": 0.03946355190797843, ""major"": 0.29042612065002793, ""tuition"": 0.12471122937738514, ""quality"": 0.12471122937738514, ""geo"": 0.42068786868722335}",,,4,0.0,0.75,0.75,0.5,0.5,target_agent,8,杭州师范大学,True,1,0,1,risk_tier,520-549,school,school,0.25
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_ucb,no_ucb,one-constrain-tuition_value-520-016,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_fixed_1c6axes_ablation2\Pro_zai-org_GLM-5.1\app_pareto_no_ucb\transcripts\app_pareto_no_ucb\transcript_one-constrain-tuition_value-520-016.json,0.0581608818698884,1.0,1.8616223879755822,5.0,1.25,0.75,0.75,,0.0,0,0.0,0.0,2,6,3,0.5,3,1,7,3,0,0.0,"{""school"": 0.28574495920881177, ""major"": 0.12270110233736051, ""tuition"": 0.12270110233736051, ""quality"": 0.3461517337791067, ""geo"": 0.12270110233736051}",,,6,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,,,,False,0,0,1,tuition_value,520-549,tuition,"school,quality",0.304
