case_id,constraint_count,diagnostic_level,diagnostic_axis,preference_axis,requested_score_band,source_score_band,borrowed_score_band,score,finder,baseline_school,baseline_major,baseline_tier,baseline_ranking,target_school,target_major,target_year,target_min_score,target_min_rank,target_min_rank_missing,target_tier,tier_delta,ranking_gain,tuition_delta,quality_gain,outcome_gain,risk_level,score_margin
four-constrain-geo_tier-520-001,4,4-constrain,geo_tier,geo,520-549,520-549,False,520,pareto_province,浙江师范大学,生物科学(师范),2,92,贵州大学,冶金工程,2021,495,160516,False,3,1,0,,,,,25
four-constrain-geo_tier-550-002,4,4-constrain,geo_tier,geo,550-579,550-579,False,550,pareto_province,浙江师范大学,生物科学(师范),2,92,广西大学,公共事业管理,2024,542,120511,False,3,1,9,,,,,8
four-constrain-geo_tier-580-003,4,4-constrain,geo_tier,geo,580-609,580-609,False,580,pareto_province,浙江师范大学,环境科学与工程,2,92,华中农业大学,生态学,2025,579,77019,False,3,1,44,,,,,1
four-constrain-geo_tier-630-004,4,4-constrain,geo_tier,geo,610-639,610-639,False,630,pareto_province,宁波大学,思想政治教育,3,87,大连理工大学(盘锦校区),药学,2025,628,25117,False,4,1,62,,,,,2
four-constrain-geo_tier-640-005,4,4-constrain,geo_tier,geo,640-680,640-680,False,640,pareto_province,宁波大学,法学,3,87,吉林大学,物理学,2025,639,17005,False,4,1,77,,,,,1
four-constrain-major_tier-560-006,4,4-constrain,major_tier,major,520-549,550-579,True,560,major_relax,湖州师范学院,临床医学,2,387,成都中医药大学,康复治疗学,2025,553,108281,False,3,1,168,,,,,7
four-constrain-major_tier-570-007,4,4-constrain,major_tier,major,550-579,550-579,False,570,major_relax,丽水学院,临床医学,2,387,青海大学,康复治疗学,2025,570,87382,False,3,1,93,,,,,0
four-constrain-major_tier-590-008,4,4-constrain,major_tier,major,580-609,580-609,False,590,major_relax,杭州师范大学,临床医学,2,172,广州中医药大学,康复治疗学,2025,590,63134,False,3,1,0,,,,,0
four-constrain-major_tier-600-009,4,4-constrain,major_tier,major,610-639,580-609,True,600,major_relax,杭州师范大学,临床医学(仓前校区),2,172,南京中医药大学,康复治疗学,2023,592,61157,False,3,1,0,,,,,8
four-constrain-major_tier-650-010,4,4-constrain,major_tier,major,640-680,640-680,False,650,major_relax,宁波大学,临床医学(拔尖人才创新班),3,87,四川大学,医学技术类,2025,649,11548,False,4,1,75,,,,,1
four-constrain-risk_tier-590-011,4,4-constrain,risk_tier,school,520-549,580-609,True,590,single_risk,杭州医学院,临床医学(临安校区),2,706,杭州师范大学,临床医学,2025,590,63187,False,2,0,534,,,,chong,0
four-constrain-risk_tier-600-012,4,4-constrain,risk_tier,school,550-579,580-609,True,600,single_risk,杭州医学院,临床医学(临安校区),2,706,浙江中医药大学,中西医临床医学,2025,599,52787,False,2,0,407,,,,chong,1
four-constrain-risk_tier-600-013,4,4-constrain,risk_tier,school,580-609,580-609,False,600,single_risk,杭州医学院,临床医学(临安校区),2,706,浙江中医药大学,临床医学,2025,594,58239,False,2,0,407,,,,wen,6
four-constrain-risk_tier-610-014,4,4-constrain,risk_tier,school,610-639,610-639,False,610,single_risk,杭州医学院,临床医学,2,706,宁波大学,临床医学,2025,610,40934,False,3,1,619,,,,chong,0
