priority_rank,priority_score,province,city,school_count,current_geo_node_id,current_geo_confidence,current_urban_node_id,current_urban_confidence,review_reasons,suggested_geo_parent_id,suggested_geo_node_id,suggested_geo_name,suggested_urban_parent_id,suggested_urban_node_id,suggested_urban_name,reviewer_geo_action,reviewer_geo_parent_id,reviewer_geo_node_id,reviewer_geo_name,reviewer_urban_action,reviewer_urban_parent_id,reviewer_urban_node_id,reviewer_urban_name,reviewer_confidence,reviewer_note
1,110125,内蒙古,呼和浩特市,25,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:north_china,geo:reviewed:2d13d2820a,呼和浩特市,urban:tier:strong_capital,urban:reviewed:86bc47e76d,呼和浩特市,,,,,,,,,,
2,110111,香港,香港,11,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:south_china,geo:reviewed:65180f7129,香港,urban:tier:prefecture,urban:reviewed:86f7c048e0,香港,,,,,,,,,,
3,110107,内蒙古,包头市,7,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:north_china,geo:reviewed:06a053f953,包头市,urban:tier:prefecture,urban:reviewed:9c966c75e2,包头市,,,,,,,,,,
4,110106,澳门,澳门,6,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:south_china,geo:reviewed:b7d746a781,澳门,urban:tier:prefecture,urban:reviewed:6d5e2ea2fd,澳门,,,,,,,,,,
5,110105,内蒙古,赤峰市,5,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:north_china,geo:reviewed:37cd660304,赤峰市,urban:tier:prefecture,urban:reviewed:9d45d654f4,赤峰市,,,,,,,,,,
6,110105,内蒙古,鄂尔多斯市,5,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:north_china,geo:reviewed:8e09a8400f,鄂尔多斯市,urban:tier:prefecture,urban:reviewed:9a7a59dfe7,鄂尔多斯市,,,,,,,,,,
7,110105,西藏,拉萨市,5,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:southwest_china,geo:reviewed:8b54f9362a,拉萨市,urban:tier:prefecture,urban:reviewed:6991d8a67d,拉萨市,,,,,,,,,,
8,110104,内蒙古,呼伦贝尔市,4,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:north_china,geo:reviewed:4b1b098a33,呼伦贝尔市,urban:tier:prefecture,urban:reviewed:56f4d806db,呼伦贝尔市,,,,,,,,,,
9,110103,内蒙古,乌兰察布市,3,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:north_china,geo:reviewed:163e9f572d,乌兰察布市,urban:tier:prefecture,urban:reviewed:3221229f27,乌兰察布市,,,,,,,,,,
10,110103,内蒙古,通辽市,3,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:north_china,geo:reviewed:053fccfeff,通辽市,urban:tier:prefecture,urban:reviewed:686f6852d9,通辽市,,,,,,,,,,
11,110102,内蒙古,巴彦淖尔市,2,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:north_china,geo:reviewed:7e882e48fb,巴彦淖尔市,urban:tier:prefecture,urban:reviewed:ce994ad981,巴彦淖尔市,,,,,,,,,,
12,110101,内蒙古,乌海市,1,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:north_china,geo:reviewed:12ee70257e,乌海市,urban:tier:prefecture,urban:reviewed:c93ddeefda,乌海市,,,,,,,,,,
13,110101,内蒙古,兴安盟,1,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:north_china,geo:reviewed:eba9d51b7d,兴安盟,urban:tier:prefecture,urban:reviewed:8fc20f343e,兴安盟,,,,,,,,,,
14,110101,内蒙古,呼伦贝尔市满洲里市,1,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:north_china,geo:reviewed:11ae4fd624,呼伦贝尔市满洲里市,urban:tier:prefecture,urban:reviewed:f319f82a9a,呼伦贝尔市满洲里市,,,,,,,,,,
